State,University,URL
Massachusetts,University of Massachusetts Amherst,https://focus.org/campus/university-of-massachusetts-amherst/
Massachusetts,Worcester Polytechnic Institute,https://focus.org/campus/worcester-polytechnic-institute/
Michigan,Central Michigan University,https://focus.org/campus/central-michigan-university/
Michigan,Grand Valley State University,https://focus.org/campus/grand-valley-state-university/
Michigan,Hope College,https://focus.org/campus/hope-college/
Michigan,Michigan Technological University,https://focus.org/campus/michigan-technological-university/
Michigan,Northern Michigan University,https://focus.org/campus/northern-michigan-university/
Michigan,Oakland University,https://focus.org/campus/oakland-university/
Michigan,Wayne State University,https://focus.org/campus/wayne-state-university/
Minnesota,Bemidji State University,https://focus.org/campus/bemidji-state-university/
Minnesota,Minnesota State University,https://focus.org/campus/minnesota-state-university/
Minnesota,University of Minnesota Duluth,https://focus.org/campus/university-of-minnesota-duluth/
Minnesota,Winona State University,https://focus.org/campus/winona-state-university/
Mississippi,Mississippi State University,https://focus.org/campus/mississippi-state-university/
Mississippi,University of Southern Mississippi,https://focus.org/campus/university-of-southern-mississippi/
Missouri,Lindenwood University,https://focus.org/campus/lindenwood-university/
Missouri,Missouri University of Science and Technology,https://focus.org/campus/missouri-university-of-science-and-technology/
Missouri,Northwest Missouri State University,https://focus.org/campus/northwest-missouri-state-university/
Missouri,Southeast Missouri State University,https://focus.org/campus/southeast-missouri-state-university/
Missouri,University of Missouri,https://focus.org/campus/university-of-missouri/
Montana,Carroll College,https://focus.org/campus/carroll-college/
Montana,Montana State University,https://focus.org/campus/montana-state-university/
Montana,University of Montana,https://focus.org/campus/university-of-montana/
Nebraska,University of Nebraska Lincoln,https://focus.org/campus/university-of-nebraska-lincoln/
Nebraska,University of Nebraska Omaha,https://focus.org/campus/university-of-nebraska-omaha/
Nebraska,University of Nebraska at Kearney,https://focus.org/campus/university-of-nebraska-at-kearney/
Nebraska,Wayne State College,https://focus.org/campus/wayne-state-college/
Nevada,"University of Nevada, Las Vegas",https://focus.org/campus/university-of-nevada-las-vegas/
Nevada,"University of Nevada, Reno",https://focus.org/campus/university-of-nevada-reno/
New Hampshire,University of New Hampshire (Digital Campus),https://focus.org/campus/university-of-new-hampshire/
New Jersey,Montclair State University,https://focus.org/campus/montclair-state-university/
New Jersey,Seton Hall University,https://focus.org/campus/seton-hall-university/
New York,Columbia University,https://focus.org/campus/columbia-university/
New York,Hofstra University (Digital Campus),https://focus.org/campus/hofstra-university/
New York,New York University,https://focus.org/campus/new-york-university/
New York,Queens College,https://focus.org/campus/queens-college/
New York,Stony Brook University,https://focus.org/campus/stony-brook-university/
New York,United States Military Academy,https://focus.org/campus/united-states-military-academy/
North Carolina,Belmont Abbey College,https://focus.org/campus/belmont-abbey-college/
North Carolina,Duke University,https://focus.org/campus/duke-university/
North Carolina,East Carolina University,https://focus.org/campus/eastern-carolina-university/
North Carolina,Wake Forest University,https://focus.org/campus/wake-forest-university/
North Dakota,Dickinson State University,https://focus.org/campus/dickinson-state-university/
North Dakota,North Dakota State University,https://focus.org/campus/north-dakota-state-university/
North Dakota,University of Mary,https://focus.org/campus/university-of-mary/
North Dakota,University of North Dakota,https://focus.org/campus/university-of-north-dakota/
Ohio,Bowling Green State University,https://focus.org/campus/bowling-green-state-university/
Ohio,Miami University,https://focus.org/campus/miami-university/
Ohio,Ohio Northern University,https://focus.org/campus/ohio-northern-university/
Ohio,The Ohio State University,https://focus.org/campus/the-ohio-state-university/
Ohio,University of Akron,https://focus.org/campus/university-of-akron/
Ohio,University of Cincinnati,https://focus.org/campus/university-of-cincinnati/
Ohio,University of Toledo,https://focus.org/campus/university-of-toledo/
Ohio,Wright State University,https://focus.org/campus/wright-state-university/
Oklahoma,Oklahoma State University,https://focus.org/campus/oklahoma-state-university/
Oklahoma,The University of Central Oklahoma,https://focus.org/campus/the-university-of-central-oklahoma/
Oklahoma,University of Oklahoma,https://focus.org/campus/university-of-oklahoma/
Oklahoma,University of Tulsa,https://focus.org/campus/university-of-tulsa/
Oregon,Oregon State University – Cascades,https://focus.org/campus/oregon-state-university-cascades/
Oregon,University of Oregon,https://focus.org/campus/university-of-oregon/
Pennsylvania,Carnegie Mellon University,https://focus.org/campus/carnegie-mellon-university/
Pennsylvania,Drexel University,https://focus.org/campus/drexel-university/
Pennsylvania,Lehigh University,https://focus.org/campus/lehigh-university/
Pennsylvania,PennWest Edinboro,https://focus.org/campus/edinboro-university/
Pennsylvania,Saint Francis University,https://focus.org/campus/saint-francis-university/
Pennsylvania,Shippensburg University,https://focus.org/campus/shippensburg-university/
Pennsylvania,Temple University,https://focus.org/campus/temple-university/
